channel_id,channel_name,channel_country,url,video_title,video_views,upload_date
TheGuardian,The Guardian,unknown,/watch?v=HFHBPvMRvX4,Why US anti-vaxxers will refuse the coronavirus vaccine,136 k vues,il y a 5 mois
elithecomputerguy,Eli the Computer Guy,unknown,/watch?v=PMTwJqxMhYE,Americans REFUSE COVID VACCINE,15 k vues,il y a 3 mois
UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,US,/watch?v=UJDbDrKB0Sg,Coronavirus vaccine: Can your employer force you to get a COVID-19 vaccine?,17 k vues,il y a 2 mois
NBCNews,NBC News,unknown,/watch?v=lF4RRwjJm_M,Anti-Vaxxers Could Pose Public Health Risk When Coronavirus Vaccine Arrives | NBC News NOW,36 k vues,il y a 6 mois
UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,US,/watch?v=6Cvh5WE2jp0,Poll: 1 in 5 Americans would refuse COVID-19 vaccine,969 vues,il y a 5 mois
AgendaStevePaikin,The Agenda with Steve Paikin,unknown,/watch?v=jeIs1SH8zKI,Battling Anti-Vaccine COVID-19 Disinformation,"5,5 k vues",il y a 6 mois
GMB,Good Morning Britain,unknown,/watch?v=25LbHn3byI8,Should the COVID-19 Vaccine Be Made Compulsory? | Good Morning Britain,306 k vues,il y a 4 mois
LarryKingNow,Larry King,unknown,/watch?v=9rNTqCD3N-4,Alan Dershowitz discusses legality of mandatory #COVID-19 vaccines,31 k vues,il y a 5 mois
skynews,Sky News,unknown,/watch?v=zThMj6xmWY0,COVID-19: Half of Britons would not get a coronavirus vaccination,659 k vues,il y a 3 mois
GlobalToronto,Global News,unknown,/watch?v=-DLHR8rAqaA,Coronavirus: Canada's health minister says COVID-19 vaccine will not be mandatory,25 k vues,il y a 2 mois
UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,TR,/watch?v=4iPA4BmA0WA,Should the Covid-19 vaccine be made compulsory?,17 k vues,il y a 3 mois
kjrhtv,KJRH -TV | Tulsa | Channel 2,unknown,/watch?v=MUf5xtPbebs,COVID-19 Vaccine: Could it be mandatory?,"8,9 k vues",il y a 2 mois
700ClubInteractive,700 Club Interactive,unknown,/watch?v=IGJjE6a0Nxc,Will They Put a CHIP in the Coronavirus Vaccine?,405 k vues,il y a 5 mois
UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,US,/watch?v=xYLapZC2RrY,VERIFY: Are there RFID chips in vaccines?,43 k vues,il y a 4 mois
viralrescue,Motivation Madness,unknown,/watch?v=gSKY4Oz9IXQ,THE REAL TRUTH ABOUT CORONAVIRUS by Dr. Steven Gundry,"2,6 M vues",il y a 6 mois
